current progress: total_cnt=100, err_cnt=50
current progress: total_cnt=200, err_cnt=150
current progress: total_cnt=300, err_cnt=186
current progress: total_cnt=400, err_cnt=244
current progress: total_cnt=500, err_cnt=295
current progress: total_cnt=600, err_cnt=375
current progress: total_cnt=700, err_cnt=475
current progress: total_cnt=800, err_cnt=575
current progress: total_cnt=900, err_cnt=675
current progress: total_cnt=1000, err_cnt=775
finally: total_cnt=1000, err_cnt=776
