history: worker_index=0, num_err_id_list=772
current progress: total_cnt=10, err_cnt=8
current progress: total_cnt=20, err_cnt=18
current progress: total_cnt=30, err_cnt=28
current progress: total_cnt=40, err_cnt=38
current progress: total_cnt=50, err_cnt=48
current progress: total_cnt=60, err_cnt=58
current progress: total_cnt=70, err_cnt=68
current progress: total_cnt=80, err_cnt=78
current progress: total_cnt=90, err_cnt=88
current progress: total_cnt=100, err_cnt=98
current progress: total_cnt=110, err_cnt=108
current progress: total_cnt=120, err_cnt=118
current progress: total_cnt=130, err_cnt=128
current progress: total_cnt=140, err_cnt=138
current progress: total_cnt=150, err_cnt=148
current progress: total_cnt=160, err_cnt=156
current progress: total_cnt=170, err_cnt=164
current progress: total_cnt=180, err_cnt=172
current progress: total_cnt=190, err_cnt=182
current progress: total_cnt=200, err_cnt=192
current progress: total_cnt=210, err_cnt=202
current progress: total_cnt=220, err_cnt=203
current progress: total_cnt=230, err_cnt=203
current progress: total_cnt=240, err_cnt=203
current progress: total_cnt=250, err_cnt=203
current progress: total_cnt=260, err_cnt=203
current progress: total_cnt=270, err_cnt=203
current progress: total_cnt=280, err_cnt=203
current progress: total_cnt=290, err_cnt=203
current progress: total_cnt=300, err_cnt=206
current progress: total_cnt=310, err_cnt=210
current progress: total_cnt=320, err_cnt=213
current progress: total_cnt=330, err_cnt=223
current progress: total_cnt=340, err_cnt=233
current progress: total_cnt=350, err_cnt=243
current progress: total_cnt=360, err_cnt=253
current progress: total_cnt=370, err_cnt=263
current progress: total_cnt=380, err_cnt=273
current progress: total_cnt=390, err_cnt=283
current progress: total_cnt=400, err_cnt=293
current progress: total_cnt=410, err_cnt=303
current progress: total_cnt=420, err_cnt=313
current progress: total_cnt=430, err_cnt=323
current progress: total_cnt=440, err_cnt=333
current progress: total_cnt=450, err_cnt=343
current progress: total_cnt=460, err_cnt=353
current progress: total_cnt=470, err_cnt=363
current progress: total_cnt=480, err_cnt=373
current progress: total_cnt=490, err_cnt=383
current progress: total_cnt=500, err_cnt=393
current progress: total_cnt=510, err_cnt=403
current progress: total_cnt=520, err_cnt=413
current progress: total_cnt=530, err_cnt=423
current progress: total_cnt=540, err_cnt=433
current progress: total_cnt=550, err_cnt=443
current progress: total_cnt=560, err_cnt=453
current progress: total_cnt=570, err_cnt=463
current progress: total_cnt=580, err_cnt=473
current progress: total_cnt=590, err_cnt=483
current progress: total_cnt=600, err_cnt=493
current progress: total_cnt=610, err_cnt=503
current progress: total_cnt=620, err_cnt=513
current progress: total_cnt=630, err_cnt=523
current progress: total_cnt=640, err_cnt=533
current progress: total_cnt=650, err_cnt=543
current progress: total_cnt=660, err_cnt=553
current progress: total_cnt=670, err_cnt=563
current progress: total_cnt=680, err_cnt=573
current progress: total_cnt=690, err_cnt=583
current progress: total_cnt=700, err_cnt=593
current progress: total_cnt=710, err_cnt=603
current progress: total_cnt=720, err_cnt=613
current progress: total_cnt=730, err_cnt=623
current progress: total_cnt=740, err_cnt=633
current progress: total_cnt=750, err_cnt=643
current progress: total_cnt=760, err_cnt=653
current progress: total_cnt=770, err_cnt=663
finally: total_cnt=772, err_cnt=666
