current progress: total_cnt=100, err_cnt=51
current progress: total_cnt=200, err_cnt=151
current progress: total_cnt=300, err_cnt=187
current progress: total_cnt=400, err_cnt=244
current progress: total_cnt=500, err_cnt=290
current progress: total_cnt=600, err_cnt=374
current progress: total_cnt=700, err_cnt=474
current progress: total_cnt=800, err_cnt=574
current progress: total_cnt=900, err_cnt=674
current progress: total_cnt=1000, err_cnt=774
finally: total_cnt=1000, err_cnt=775
