history: worker_index=3, num_err_id_list=769
current progress: total_cnt=10, err_cnt=8
current progress: total_cnt=20, err_cnt=18
current progress: total_cnt=30, err_cnt=28
current progress: total_cnt=40, err_cnt=38
current progress: total_cnt=50, err_cnt=48
current progress: total_cnt=60, err_cnt=58
current progress: total_cnt=70, err_cnt=68
current progress: total_cnt=80, err_cnt=78
current progress: total_cnt=90, err_cnt=88
current progress: total_cnt=100, err_cnt=98
current progress: total_cnt=110, err_cnt=108
current progress: total_cnt=120, err_cnt=118
current progress: total_cnt=130, err_cnt=128
current progress: total_cnt=140, err_cnt=138
current progress: total_cnt=150, err_cnt=148
current progress: total_cnt=160, err_cnt=158
current progress: total_cnt=170, err_cnt=164
current progress: total_cnt=180, err_cnt=172
current progress: total_cnt=190, err_cnt=181
current progress: total_cnt=200, err_cnt=191
current progress: total_cnt=210, err_cnt=201
current progress: total_cnt=220, err_cnt=205
current progress: total_cnt=230, err_cnt=205
current progress: total_cnt=240, err_cnt=205
current progress: total_cnt=250, err_cnt=205
current progress: total_cnt=260, err_cnt=205
current progress: total_cnt=270, err_cnt=205
current progress: total_cnt=280, err_cnt=205
current progress: total_cnt=290, err_cnt=206
current progress: total_cnt=300, err_cnt=207
current progress: total_cnt=310, err_cnt=209
current progress: total_cnt=320, err_cnt=217
current progress: total_cnt=330, err_cnt=227
current progress: total_cnt=340, err_cnt=237
current progress: total_cnt=350, err_cnt=247
current progress: total_cnt=360, err_cnt=257
current progress: total_cnt=370, err_cnt=267
current progress: total_cnt=380, err_cnt=277
current progress: total_cnt=390, err_cnt=287
current progress: total_cnt=400, err_cnt=297
current progress: total_cnt=410, err_cnt=307
current progress: total_cnt=420, err_cnt=317
current progress: total_cnt=430, err_cnt=327
current progress: total_cnt=440, err_cnt=337
current progress: total_cnt=450, err_cnt=347
current progress: total_cnt=460, err_cnt=357
current progress: total_cnt=470, err_cnt=367
current progress: total_cnt=480, err_cnt=377
current progress: total_cnt=490, err_cnt=387
current progress: total_cnt=500, err_cnt=397
current progress: total_cnt=510, err_cnt=407
current progress: total_cnt=520, err_cnt=417
current progress: total_cnt=530, err_cnt=427
current progress: total_cnt=540, err_cnt=437
current progress: total_cnt=550, err_cnt=447
current progress: total_cnt=560, err_cnt=457
current progress: total_cnt=570, err_cnt=467
current progress: total_cnt=580, err_cnt=477
current progress: total_cnt=590, err_cnt=487
current progress: total_cnt=600, err_cnt=497
current progress: total_cnt=610, err_cnt=507
current progress: total_cnt=620, err_cnt=517
current progress: total_cnt=630, err_cnt=527
current progress: total_cnt=640, err_cnt=537
current progress: total_cnt=650, err_cnt=547
current progress: total_cnt=660, err_cnt=557
current progress: total_cnt=670, err_cnt=567
current progress: total_cnt=680, err_cnt=577
current progress: total_cnt=690, err_cnt=587
current progress: total_cnt=700, err_cnt=597
current progress: total_cnt=710, err_cnt=607
current progress: total_cnt=720, err_cnt=617
current progress: total_cnt=730, err_cnt=627
current progress: total_cnt=740, err_cnt=637
current progress: total_cnt=750, err_cnt=647
current progress: total_cnt=760, err_cnt=657
finally: total_cnt=769, err_cnt=667
