current progress: total_cnt=100, err_cnt=54
current progress: total_cnt=200, err_cnt=154
current progress: total_cnt=300, err_cnt=193
current progress: total_cnt=400, err_cnt=245
current progress: total_cnt=500, err_cnt=307
current progress: total_cnt=600, err_cnt=368
current progress: total_cnt=700, err_cnt=468
current progress: total_cnt=800, err_cnt=568
current progress: total_cnt=900, err_cnt=668
current progress: total_cnt=1000, err_cnt=768
finally: total_cnt=1000, err_cnt=769
