current progress: total_cnt=100, err_cnt=52
current progress: total_cnt=200, err_cnt=152
current progress: total_cnt=300, err_cnt=190
current progress: total_cnt=400, err_cnt=239
current progress: total_cnt=500, err_cnt=301
current progress: total_cnt=600, err_cnt=362
current progress: total_cnt=700, err_cnt=462
current progress: total_cnt=800, err_cnt=562
current progress: total_cnt=900, err_cnt=662
current progress: total_cnt=1000, err_cnt=762
finally: total_cnt=1000, err_cnt=763
