current progress: total_cnt=100, err_cnt=52
current progress: total_cnt=200, err_cnt=152
current progress: total_cnt=300, err_cnt=192
current progress: total_cnt=400, err_cnt=245
current progress: total_cnt=500, err_cnt=300
current progress: total_cnt=600, err_cnt=367
current progress: total_cnt=700, err_cnt=467
current progress: total_cnt=800, err_cnt=567
current progress: total_cnt=900, err_cnt=667
current progress: total_cnt=1000, err_cnt=767
finally: total_cnt=1000, err_cnt=768
