current progress: total_cnt=100, err_cnt=54
current progress: total_cnt=200, err_cnt=154
current progress: total_cnt=300, err_cnt=190
current progress: total_cnt=400, err_cnt=245
current progress: total_cnt=500, err_cnt=294
current progress: total_cnt=600, err_cnt=373
current progress: total_cnt=700, err_cnt=473
current progress: total_cnt=800, err_cnt=573
current progress: total_cnt=900, err_cnt=673
current progress: total_cnt=1000, err_cnt=773
finally: total_cnt=1000, err_cnt=774
