current progress: total_cnt=100, err_cnt=53
current progress: total_cnt=200, err_cnt=153
current progress: total_cnt=300, err_cnt=189
current progress: total_cnt=400, err_cnt=247
current progress: total_cnt=500, err_cnt=302
current progress: total_cnt=600, err_cnt=370
current progress: total_cnt=700, err_cnt=470
current progress: total_cnt=800, err_cnt=570
current progress: total_cnt=900, err_cnt=670
current progress: total_cnt=1000, err_cnt=770
finally: total_cnt=1000, err_cnt=771
