current progress: total_cnt=100, err_cnt=52
current progress: total_cnt=200, err_cnt=152
current progress: total_cnt=300, err_cnt=194
current progress: total_cnt=400, err_cnt=244
current progress: total_cnt=500, err_cnt=309
current progress: total_cnt=600, err_cnt=366
current progress: total_cnt=700, err_cnt=466
current progress: total_cnt=800, err_cnt=566
current progress: total_cnt=900, err_cnt=666
current progress: total_cnt=1000, err_cnt=766
finally: total_cnt=1000, err_cnt=767
