current progress: total_cnt=100, err_cnt=51
current progress: total_cnt=200, err_cnt=151
current progress: total_cnt=300, err_cnt=189
current progress: total_cnt=400, err_cnt=242
current progress: total_cnt=500, err_cnt=278
current progress: total_cnt=600, err_cnt=376
current progress: total_cnt=700, err_cnt=476
current progress: total_cnt=800, err_cnt=576
current progress: total_cnt=900, err_cnt=676
current progress: total_cnt=1000, err_cnt=776
finally: total_cnt=1000, err_cnt=777
