history: worker_index=14, num_err_id_list=769
current progress: total_cnt=10, err_cnt=9
current progress: total_cnt=20, err_cnt=19
current progress: total_cnt=30, err_cnt=29
current progress: total_cnt=40, err_cnt=39
current progress: total_cnt=50, err_cnt=49
current progress: total_cnt=60, err_cnt=59
current progress: total_cnt=70, err_cnt=69
current progress: total_cnt=80, err_cnt=79
current progress: total_cnt=90, err_cnt=89
current progress: total_cnt=100, err_cnt=99
current progress: total_cnt=110, err_cnt=109
current progress: total_cnt=120, err_cnt=119
current progress: total_cnt=130, err_cnt=129
current progress: total_cnt=140, err_cnt=139
current progress: total_cnt=150, err_cnt=149
current progress: total_cnt=160, err_cnt=156
current progress: total_cnt=170, err_cnt=166
current progress: total_cnt=180, err_cnt=174
current progress: total_cnt=190, err_cnt=184
current progress: total_cnt=200, err_cnt=194
current progress: total_cnt=210, err_cnt=202
current progress: total_cnt=220, err_cnt=202
current progress: total_cnt=230, err_cnt=202
current progress: total_cnt=240, err_cnt=202
current progress: total_cnt=250, err_cnt=202
current progress: total_cnt=260, err_cnt=202
current progress: total_cnt=270, err_cnt=202
current progress: total_cnt=280, err_cnt=202
current progress: total_cnt=290, err_cnt=202
current progress: total_cnt=300, err_cnt=202
current progress: total_cnt=310, err_cnt=204
current progress: total_cnt=320, err_cnt=211
current progress: total_cnt=330, err_cnt=221
current progress: total_cnt=340, err_cnt=231
current progress: total_cnt=350, err_cnt=241
current progress: total_cnt=360, err_cnt=251
current progress: total_cnt=370, err_cnt=261
current progress: total_cnt=380, err_cnt=271
current progress: total_cnt=390, err_cnt=281
current progress: total_cnt=400, err_cnt=291
current progress: total_cnt=410, err_cnt=301
current progress: total_cnt=420, err_cnt=311
current progress: total_cnt=430, err_cnt=321
current progress: total_cnt=440, err_cnt=331
current progress: total_cnt=450, err_cnt=341
current progress: total_cnt=460, err_cnt=351
current progress: total_cnt=470, err_cnt=361
current progress: total_cnt=480, err_cnt=371
current progress: total_cnt=490, err_cnt=381
current progress: total_cnt=500, err_cnt=391
current progress: total_cnt=510, err_cnt=401
current progress: total_cnt=520, err_cnt=411
current progress: total_cnt=530, err_cnt=421
current progress: total_cnt=540, err_cnt=431
current progress: total_cnt=550, err_cnt=441
current progress: total_cnt=560, err_cnt=451
current progress: total_cnt=570, err_cnt=461
current progress: total_cnt=580, err_cnt=471
current progress: total_cnt=590, err_cnt=481
current progress: total_cnt=600, err_cnt=491
current progress: total_cnt=610, err_cnt=501
current progress: total_cnt=620, err_cnt=511
current progress: total_cnt=630, err_cnt=521
current progress: total_cnt=640, err_cnt=531
current progress: total_cnt=650, err_cnt=541
current progress: total_cnt=660, err_cnt=551
current progress: total_cnt=670, err_cnt=561
current progress: total_cnt=680, err_cnt=571
current progress: total_cnt=690, err_cnt=581
current progress: total_cnt=700, err_cnt=591
current progress: total_cnt=710, err_cnt=601
current progress: total_cnt=720, err_cnt=611
current progress: total_cnt=730, err_cnt=621
current progress: total_cnt=740, err_cnt=631
current progress: total_cnt=750, err_cnt=641
current progress: total_cnt=760, err_cnt=651
finally: total_cnt=769, err_cnt=661
