current progress: total_cnt=100, err_cnt=51
current progress: total_cnt=200, err_cnt=151
current progress: total_cnt=300, err_cnt=190
current progress: total_cnt=400, err_cnt=245
current progress: total_cnt=500, err_cnt=305
current progress: total_cnt=600, err_cnt=371
current progress: total_cnt=700, err_cnt=471
current progress: total_cnt=800, err_cnt=571
current progress: total_cnt=900, err_cnt=671
current progress: total_cnt=1000, err_cnt=771
finally: total_cnt=1000, err_cnt=772
